"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","23.07.2023 13:00 - 23.07.2023 14:00 (UTC)","5","n/e","n/e","n/e","49","78","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","95","45","585","197"
"BZN|DK2","23.07.2023 14:00 - 23.07.2023 15:00 (UTC)","5","n/e","n/e","n/e","48","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","94","45","511","214"
"BZN|DK2","23.07.2023 15:00 - 23.07.2023 16:00 (UTC)","6","n/e","n/e","n/e","48","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","67","45","472","251"
"BZN|DK2","23.07.2023 16:00 - 23.07.2023 17:00 (UTC)","10","n/e","n/e","n/e","50","79","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","36","44","593","267"
"BZN|DK2","23.07.2023 17:00 - 23.07.2023 18:00 (UTC)","14","n/e","n/e","n/e","48","78","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","14","43","747","291"
"BZN|DK2","23.07.2023 18:00 - 23.07.2023 19:00 (UTC)","15","n/e","n/e","n/e","47","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","6","44","788","310"
"BZN|DK2","23.07.2023 19:00 - 23.07.2023 20:00 (UTC)","10","n/e","n/e","n/e","47","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","44","752","306"
"BZN|DK2","23.07.2023 20:00 - 23.07.2023 21:00 (UTC)","9","n/e","n/e","n/e","48","77","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","772","285"
"BZN|DK2","23.07.2023 21:00 - 23.07.2023 22:00 (UTC)","9","n/e","n/e","n/e","49","78","16","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","770","303"
"BZN|DK2","23.07.2023 22:00 - 23.07.2023 23:00 (UTC)","7","n/e","n/e","n/e","48","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","753","300"
"BZN|DK2","23.07.2023 23:00 - 24.07.2023 00:00 (UTC)","5","n/e","n/e","n/e","46","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","736","273"
