"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","12.12.2024 13:00 - 12.12.2024 14:00 (UTC)","707","n/e","n/e","n/e","431","693","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","35","113","29","43"
"BZN|DK1","12.12.2024 14:00 - 12.12.2024 15:00 (UTC)","745","n/e","n/e","n/e","440","689","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","5","113","33","28"
"BZN|DK1","12.12.2024 15:00 - 12.12.2024 16:00 (UTC)","778","n/e","n/e","n/e","464","690","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","113","35","26"
"BZN|DK1","12.12.2024 16:00 - 12.12.2024 17:00 (UTC)","780","n/e","n/e","n/e","467","698","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","114","43","24"
"BZN|DK1","12.12.2024 17:00 - 12.12.2024 18:00 (UTC)","674","n/e","n/e","n/e","460","697","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","111","49","22"
"BZN|DK1","12.12.2024 18:00 - 12.12.2024 19:00 (UTC)","532","n/e","n/e","n/e","453","679","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","113","36","18"
"BZN|DK1","12.12.2024 19:00 - 12.12.2024 20:00 (UTC)","555","n/e","n/e","n/e","393","675","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","111","54","18"
"BZN|DK1","12.12.2024 20:00 - 12.12.2024 21:00 (UTC)","468","n/e","n/e","n/e","348","679","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","0","85","57","25"
"BZN|DK1","12.12.2024 21:00 - 12.12.2024 22:00 (UTC)","417","n/e","n/e","n/e","333","671","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","0","82","77","31"
"BZN|DK1","12.12.2024 22:00 - 12.12.2024 23:00 (UTC)","307","n/e","n/e","n/e","324","668","17","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","0","82","78","28"
"BZN|DK1","12.12.2024 23:00 - 13.12.2024 00:00 (UTC)","321","n/e","n/e","n/e","261","652","14","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","65","97","37"
"BZN|DK1","13.12.2024 00:00 - 13.12.2024 01:00 (UTC)","316","n/e","n/e","n/e","233","647","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","65","113","58"
"BZN|DK1","13.12.2024 01:00 - 13.12.2024 02:00 (UTC)","322","n/e","n/e","n/e","239","644","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","66","135","80"
"BZN|DK1","13.12.2024 02:00 - 13.12.2024 03:00 (UTC)","309","n/e","n/e","n/e","216","622","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","65","169","118"
"BZN|DK1","13.12.2024 03:00 - 13.12.2024 04:00 (UTC)","322","n/e","n/e","n/e","215","624","12","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","65","238","195"
"BZN|DK1","13.12.2024 04:00 - 13.12.2024 05:00 (UTC)","348","n/e","n/e","n/e","222","629","13","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","66","269","322"
"BZN|DK1","13.12.2024 05:00 - 13.12.2024 06:00 (UTC)","349","n/e","n/e","n/e","294","576","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","1","0","82","333","422"
"BZN|DK1","13.12.2024 06:00 - 13.12.2024 07:00 (UTC)","368","n/e","n/e","n/e","400","549","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","2","0","85","372","497"
"BZN|DK1","13.12.2024 07:00 - 13.12.2024 08:00 (UTC)","398","n/e","n/e","n/e","429","482","18","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","86","489","630"
"BZN|DK1","13.12.2024 08:00 - 13.12.2024 09:00 (UTC)","375","n/e","n/e","n/e","421","491","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","40","84","680","694"
